Band;FanfictionCount
Les Casseurs Flowters (Band);53
D'espairsRay;53
Eisbrecher;53
Electric Light Orchestra;53
Escape the Fate (Band);53
KoRn (Band);53
Simple Plan (Band);53
Weezer (Band);53
БИ-2 | BI-2 (Band);52
Secret (Korea Band);52
Sukekiyo (Band);52
Sunmi (Korea Musician);52
五条人 | Wu Tiao Ren (Band);52
Arcadia (UK Band);51
The Clash;51
Rudolph the Red-Nosed Reindeer - All Media Types;51
Die Ärzte;50
Stone Sour (Band);50
GHOST | GHOST and Pals (Musician);49
T-Ara;49
BEYOOOOONDS (Band);48
Electric Century;48
Isaac Carpenter (Musician);48
Kraftwerk (Band);48
Taking Back Sunday;48
VOICEROID;48
1The9 (Band);47
Ayabie (Band);47
BAE173 (Band);47
Busted (Band);47
FFC-Acrush (Band);47
Genesis (Band);47
Pete Wentz and His Humans;47
RoadTrip (Band);47
CNBLUE (Band);46
Everybody Else (Band);46
F. T. Island;46
MYTEEN (Band);46
Pet Shop Boys;46
Tim Sköld (Musician);46
B.I.G | Boys in Groove;45
Billie Eilish (Musician);45
Deadmau5 (Musician);45
LM.C (Japan Band);45
Sadie (Band);45
Wonder Girls (Band);45
Girl's Day (Band);44
I'm in Love with an E-Girl Series - Wilbur Soot (Song Cycle);44
Manic Street Preachers;44
Avatar (Sweden Band);43
DIA (Band);43
Dramarama - Monsta X (Music Video);43
IXFORM (Band);43
The Maccabees (Band);43
Marina & the Diamonds;43
Nocturnal Bloodlust;43
Shinedown (Band);43
SuG (Band);43
Synthesizer V;43
D-OUT (Band);42
Fuck City (Band);42
Glass Animals (Band);42
Sex Pistols (Band);42
Slash (Musician);42
Lord of the Lost (Band);41
Siouxsie and the Banshees (Band);41
Stereo Kicks (Band);41
Zendaya (Musician);41
7 MEN 侍 | 7 MEN Samurai (Band);40
Black Cards (Band);40
Britney Spears (Musician);40
Epic Rap Battles of History (Web Series);40
Eternally - TOMORROW X TOGETHER | TXT (Music Video);40
Girls Like Girls - Hayley Kiyoko (Music Video);40
Kanye West (Musician);40
Nine Muses;40
Oxxxymiron (Musician) RPF;40
Phantom Planet (Band);40
蘇打綠 | Sodagreen (Band);40
Tom Petty (Musician);40
Alice Cooper (Musician) RPF;39
BoA (Musician);39
CeVIO;39
Folk Songs;39
HINAPIA (Band);39
Just Music Entertainment;39
Moi Dix Mois;39
The Protomen;39
YELLOW FRIED CHICKENz;39
Fahrenheit (Taiwan Band);38
Newkidd (Band);38
Nick Cave and the Bad Seeds;38
Red Hot Chili Peppers (Band);38
Smile (UK Band 1968);38
System of a Down (Band);38
Der Zibet (Band);37
Franz Ferdinand (Band);37
Imagine Dragons (Band);37
Metropolis Suites - Janelle Monáe;37
The Police (Band);37
Weeekly (Korea Band);37
Zemfira (Musician) RPF;37
24K (Band);36
Clean Bandit (Band);36
Delain (Band);36
面孔 | The Face (China Band);36
ゴールデンボンバー | Golden Bomber (Band);36
MYNAME (Band);36
Plastic Tree;36
Purple Kiss (Band);36
AAA (Band);35
Avantasia (Band);35
Beyoncé Knowles (Musician);35
BORN (Band);35
Глеб Самойлоff & The Matrixx | Gleb Samoyloff & The Matrixx (Band);35
IAMX (Band);35
Interpol (Band);35
The Mountain Goats (Band);35
Noel Gallagher's High Flying Birds (Band);35
Without You - NCT U (Music Video);35
Boy Story (Band);34
The Horrors (Band);34
The Power Station (Band);34
星动亚洲 | Super Idol;34
ABBA (Band);33
Gotcharocka;33
JUST B (Band);33
King Gnu (Band);33
Love Me Right - EXO (Music Video);33
Penicillin (Band);33
Power - EXO (Music Video);33
Rainbow (Band);33
South Club (Band);33
Type O Negative (Band);33
Il Volo;33
1TEAM (Band);32
Like OOH-AHH - Twice (Music Video);32
Lou Reed (Musician);32
LUCY (Korea Band);32
Nicki Minaj (Musician);32
NMB48;32
ViViD (Band);32
w-inds. (Band);32
We Are The In Crowd (Band);32
Wolfsheim (Band);32
YHNEXT (Band);32
Axl Rose (Musician);31
Cinema Bizarre (Band);31
Emigrate (Band);31
Gojira (Band);31
HKT48;31
Kra (Band);31
The Rock-afire Explosion (Band);31
YDPP (Band);31
Ансамбль Александрова | Alexandrov Ensemble | Red Army Choir;30
Blind Melon;30
C-Clown;30
Camila Cabello (Musician);30
COUNTERFEIT (Band);30
Dance Gavin Dance (Band);30
E'LAST (Band);30
Einstürzende Neubauten;30
Jonathan Coulton Songs;30
Les Twins;30
Angelo (Band);29
Chris de Burgh (Musician);29
Fearless Vampire Killers (Band);29
fun. (Band);29
The Garden of Eden (UK Band);29
HiHi Jets (Band);29
Blue Neighbourhood | Wild - Troye Sivan (Music Videos);28
Boys Republic (Band);28
Bruce Springsteen & the E Street Band;28
Failure (Band);28
Feeling B;28
German Pop Music RPF;28
Kamijo (Musician) RPF;28
Reggie and the Full Effect;28
School Rapper (Korea TV);28
Tegomass (Band);28
They Might Be Giants;28
Yamashita Tomohisa (Musician);28
Brown-Eyed Girls (Band);27
Dadaroma (Band);27
Doberman Infinity (Band);27
Fest Vainqueur;27
G-Eazy (Musician) RPF;27
華Doll | HanaDoll (Music Videos);27
Hanoi Rocks;27
Hard Rock RPF;27
Maroon 5;27
Nathan Sykes (Musician);27
ORBIT (Japan Band);27
Suede (Band);27
T. Rex (Band);27
Team B (Band);27
Thursday (US Band);27
W.A.S.P. (Band);27
2Cellos;26
Angels & Airwaves;26
Ария | Aria (Russia Band);26
Boy George (Musician);26
Brand New (Band);26
Canadian Idol RPF;26
CNCO (Band);26
DKB (Korea Band);26
IM5 (Band);26
Limp Bizkit (Band);26
Lindsey Stirling (Musician);26
The Maine (Band);26
maNga (Band);26
Melodifestivalen RPF;26
MNL48;26
Owl City (Band);26
R.E.M. (Band);26
S.K.I.N. (Japan Band);26
Sunrise Avenue (Band);26
VV:D (Band);26
Yes (Band);26
BABYMETAL;25
硬糖少女303 | BonBon Girls 303 (Band);25
BVCCI HAYNES;25
コドモドラゴン | Codomo Dragon;25
The Doors (Band);25
Drab Majesty (Band);25
Ice Nine Kills (Band);25
New Politics (Band);25
Queens of the Stone Age;25
Razia's Shadow;25
STAYC (Band);25
TT - Twice (Music Video);25
The Verve;25
The Band (Band 1968);24
Culture Club (Band);24
Epik High;24
exist†trace;24
Girls Aloud;24
Kaya (Musician);24
Tally Hall (Band);24
Tears for Fears (Band);24
1PUNCH (Band);23
AC/DC (Band);23
Akdong Musician;23
BIGFLO;23
Blondie (Band);23
Burzum (Band);23
Celtic Thunder (Band);23
Duran Duran (Music Videos);23
Evanescence (Band);23
GWSN (Band);23
IN2IT (Band);23
jtL (Band);23
Lee Hi (Musician);23
Love Shot - EXO (Music Video);23
Madtown (Band);23
Pitbull (Musician);23
The Rasmus;23
Rihanna (Musician);23
Tonight Alive;23
VANIRU (Band);23
VoicePlay (Band);23
Aerosmith (Band);22
AJR (Band);22
BlackACE (China Band);22
Blossoms (Band);22
BNM BOYS (Band);22
coldrain (Japan Band);22
COMMUNICATIONS - GHOST | GHOST and Pals (Songs);22
Hey Monday;22
Jimi Hendrix Experience;22
The Lonely Island (Band);22
M.I.B (Band);22
Midnight Memories - One Direction (Music Video);22
Miley Cyrus (Musician);22
Nine Lives (Band);22
Omega X (Band);22
Rainz (Korea Band);22
TRCNG (Band);22
少年之名 | We Are Young (TV 2020);22
#2Маши | #2Mashi (Band);21
Ashley Dzerigian (Musician);21
Beautiful Liar - VIXX LR (Music Video);21
Blood On The Dance Floor;21
Cocoa Otoko;21
Girugamesh (Band);21
Hot Chelle Rae;21
Killerpilze;21
Mad T Party Band;21
Pierrot (Band);21
Pulp (Band);21
The Runaways (Band);21
Sixx:A.M.;21
SONAMOO (Band);21
Temple of the Dog (Band);21
Ундервуд | Undervud (Band);21
vistlip;21
The White Stripes;21
Ailee (Musician);20
Amanda Palmer (Musician);20
Audioslave (Band);20
BDC | Boys Da Capo (Band);20
Drake (Musician) RPF;20
Fewjar (Band);20
HALO (Korea Band);20
In Real Life (Band);20
Inspiral Carpets (Band);20
Kansai Johnny's Jr.;20
Merry (Band);20
The Moffatts;20
Neru家 | Neruke (Musician);20
OWV (Japan Band);20
Simon Dominic (Musician);20
The Yardbirds (Band);20
2AM (Band);19
Adam Young (Musician) RPF;19
Austin & Ally RPF;19
Charlie Puth (Musician);19
Cignature (Band);19
CKY (Band);19
Fighter - Monsta X (Music Video);19
Ghost9 (Korea Band);19
Hello Venus;19
Hey Violet (Band);19
Japan (Band);19
Jedward;19
MIC男团 | M.I.C. (Band);19
Parties are For Losers - Ferry (Songs);19
Pendulum/Knife Party;19
PRETTYMUCH (Band);19
Priest (Sweden Band);19
Rob Zombie (Musician);19
Rocket Punch (Band);19
Sinplus (Band);19
Skyhill (Band);19
BIGSTAR (Band);18
Bruno Mars (Musician);18
Bushido (Musician) RPF;18
Chipspeech;18
Crown The Empire;18
A Day to Remember (Band);18
Edguy (Band);18
ELRIS (Band);18
Elvis Presley (Musician);18
Fantastics from Exile Tribe (Band);18
Jeffree Star (Musician);18
Katy Perry (Musician);18
Marshmello (Musician) RPF;18
Макс Барских | Max Barsky (Musician);18
MONTERO (Call Me By Your Name) - Lil Nas X (Music Video);18
Night Changes - One Direction (Music Video);18
Papa Roach;18
Project Vela (Band);18
